Barang Konsumen Primer,Kesehatan,Keuangan,Barang Konsumen Non-Primer,Properti & Real Estat,Perindustrian,Energi,Barang Baku,Infrastruktur,Teknologi,Transportasi & Logistik,Jumlah,Prioritas,Eigen Value
0.01818181818181818,0.003367003367003367,0.005979073243647235,0.008064516129032258,0.0037096574749598114,0.010869565217391304,0.007932310946589105,0.011560693641618497,0.027903268668615467,0.024373730534867976,0.07152588555858311,0.1934675229641263,0.017587956633102392,0.9673376148206315
0.14545454545454545,0.026936026936026935,0.007473841554559043,0.016129032258064516,0.004327933720786447,0.021739130434782608,0.05552617662612375,0.011560693641618497,0.03720435822482062,0.024373730534867976,0.04087193460490463,0.3915974039911004,0.035599763999190945,1.3216412384699638
0.09090909090909091,0.10774410774410774,0.029895366218236172,0.008064516129032258,0.005193520464943736,0.021739130434782608,0.05552617662612375,0.011560693641618497,0.03720435822482062,0.030467163168584967,0.04087193460490463,0.43917605816624583,0.03992509619693144,1.3354944677873566
0.07272727272727272,0.05387205387205387,0.11958146487294469,0.03225806451612903,0.025967602324718682,0.021739130434782608,0.009254362771020623,0.017341040462427747,0.022322614934892376,0.013540961408259986,0.14305177111716622,0.5316563394416685,0.04833239449469713,1.498304229335611
0.12727272727272726,0.16161616161616163,0.14947683109118085,0.03225806451612903,0.025967602324718682,0.010869565217391304,0.01110523532522475,0.011560693641618497,0.01594472495349455,0.013540961408259986,0.05722070844686649,0.6168332758137729,0.05607575234670663,2.15945052013246
0.07272727272727272,0.05387205387205387,0.059790732436472344,0.06451612903225806,0.10387040929887473,0.043478260869565216,0.027763088313061873,0.017341040462427747,0.022322614934892376,0.020311442112389978,0.09536784741144413,0.5813608914707129,0.052850990133701176,1.2155727730751271
0.12727272727272726,0.026936026936026935,0.029895366218236172,0.1935483870967742,0.1298380116235934,0.08695652173913043,0.05552617662612375,0.017341040462427747,0.11161307467446187,0.060934326337169935,0.04087193460490463,0.8807335935915763,0.08006669032650694,1.4419629657849964
0.10909090909090909,0.16161616161616163,0.17937219730941703,0.12903225806451613,0.1558056139483121,0.17391304347826086,0.222104706504495,0.06936416184971099,0.055806537337230934,0.020311442112389978,0.07152588555858311,1.347942916869987,0.12254026516999882,1.7666221562008162
0.07272727272727272,0.08080808080808081,0.08968609865470852,0.16129032258064516,0.18177321627303078,0.21739130434782608,0.05552617662612375,0.13872832369942198,0.11161307467446187,0.060934326337169935,0.09536784741144413,1.2658460441401858,0.11507691310365326,1.0310343428786837
0.09090909090909091,0.13468013468013468,0.11958146487294469,0.2903225806451613,0.23370842092246813,0.2608695652173913,0.1110523532522475,0.4161849710982659,0.22322614934892374,0.12186865267433987,0.05722070844686649,2.0596240920678346,0.1872385538243486,1.5363963555475715
0.07272727272727272,0.18855218855218855,0.2092675635276532,0.06451612903225806,0.1298380116235934,0.13043478260869565,0.3886832363828662,0.27745664739884396,0.3348392240233856,0.6093432633716994,0.28610354223433243,2.691761861482789,0.24470562377116264,0.8553044183239685
1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,11.0,1.0,15.129121082357186
